,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Family Size
0,0,3,1,22.0,1,0,7.25,3,1
1,1,1,0,38.0,1,0,71.2833,2,1
2,1,3,0,26.0,0,0,7.925,3,0
3,1,1,0,35.0,1,0,53.1,3,1
4,0,3,1,35.0,0,0,8.05,3,0
5,0,3,1,30.0,0,0,8.4583,1,0
6,0,1,1,54.0,0,0,51.8625,3,0
7,0,3,1,2.0,3,1,21.075,3,4
8,1,3,0,27.0,0,2,11.1333,3,2
9,1,2,0,14.0,1,0,30.0708,2,1
10,1,3,0,4.0,1,1,16.7,3,2
11,1,1,0,58.0,0,0,26.55,3,0
12,0,3,1,20.0,0,0,8.05,3,0
13,0,3,1,39.0,1,5,31.275,3,6
14,0,3,0,14.0,0,0,7.8542,3,0
15,1,2,0,55.0,0,0,16.0,3,0
16,0,3,1,2.0,4,1,29.125,1,5
17,1,2,1,30.0,0,0,13.0,3,0
18,0,3,0,31.0,1,0,18.0,3,1
19,1,3,0,30.0,0,0,7.225,2,0
20,0,2,1,35.0,0,0,26.0,3,0
21,1,2,1,34.0,0,0,13.0,3,0
22,1,3,0,15.0,0,0,8.0292,1,0
23,1,1,1,28.0,0,0,35.5,3,0
24,0,3,0,8.0,3,1,21.075,3,4
25,1,3,0,38.0,1,5,31.3875,3,6
26,0,3,1,30.0,0,0,7.225,2,0
27,0,1,1,19.0,3,2,263.0,3,5
28,1,3,0,30.0,0,0,7.8792,1,0
29,0,3,1,30.0,0,0,7.8958,3,0
30,0,1,1,40.0,0,0,27.7208,2,0
31,1,1,0,30.0,1,0,146.5208,2,1
32,1,3,0,30.0,0,0,7.75,1,0
33,0,2,1,66.0,0,0,10.5,3,0
34,0,1,1,28.0,1,0,82.1708,2,1
35,0,1,1,42.0,1,0,52.0,3,1
36,1,3,1,30.0,0,0,7.2292,2,0
37,0,3,1,21.0,0,0,8.05,3,0
38,0,3,0,18.0,2,0,18.0,3,2
39,1,3,0,14.0,1,0,11.2417,2,1
40,0,3,0,40.0,1,0,9.475,3,1
41,0,2,0,27.0,1,0,21.0,3,1
42,0,3,1,30.0,0,0,7.8958,2,0
43,1,2,0,3.0,1,2,41.5792,2,3
44,1,3,0,19.0,0,0,7.8792,1,0
45,0,3,1,30.0,0,0,8.05,3,0
46,0,3,1,30.0,1,0,15.5,1,1
47,1,3,0,30.0,0,0,7.75,1,0
48,0,3,1,30.0,2,0,21.6792,2,2
49,0,3,0,18.0,1,0,17.8,3,1
50,0,3,1,7.0,4,1,39.6875,3,5
51,0,3,1,21.0,0,0,7.8,3,0
52,1,1,0,49.0,1,0,76.7292,2,1
53,1,2,0,29.0,1,0,26.0,3,1
54,0,1,1,65.0,0,1,61.9792,2,1
55,1,1,1,30.0,0,0,35.5,3,0
56,1,2,0,21.0,0,0,10.5,3,0
57,0,3,1,28.0,0,0,7.2292,2,0
58,1,2,0,5.0,1,2,27.75,3,3
59,0,3,1,11.0,5,2,46.9,3,7
60,0,3,1,22.0,0,0,7.2292,2,0
61,1,1,0,38.0,0,0,80.0,3,0
62,0,1,1,45.0,1,0,83.475,3,1
63,0,3,1,4.0,3,2,27.9,3,5
64,0,1,1,30.0,0,0,27.7208,2,0
65,1,3,1,30.0,1,1,15.2458,2,2
66,1,2,0,29.0,0,0,10.5,3,0
67,0,3,1,19.0,0,0,8.1583,3,0
68,1,3,0,17.0,4,2,7.925,3,6
69,0,3,1,26.0,2,0,8.6625,3,2
70,0,2,1,32.0,0,0,10.5,3,0
71,0,3,0,16.0,5,2,46.9,3,7
72,0,2,1,21.0,0,0,73.5,3,0
73,0,3,1,26.0,1,0,14.4542,2,1
74,1,3,1,32.0,0,0,56.4958,3,0
75,0,3,1,25.0,0,0,7.65,3,0
76,0,3,1,30.0,0,0,7.8958,3,0
77,0,3,1,30.0,0,0,8.05,3,0
78,1,2,1,1.0,0,2,29.0,3,2
79,1,3,0,30.0,0,0,12.475,3,0
80,0,3,1,22.0,0,0,9.0,3,0
81,1,3,1,29.0,0,0,9.5,3,0
82,1,3,0,30.0,0,0,7.7875,1,0
83,0,1,1,28.0,0,0,47.1,3,0
84,1,2,0,17.0,0,0,10.5,3,0
85,1,3,0,33.0,3,0,15.85,3,3
86,0,3,1,16.0,1,3,34.375,3,4
87,0,3,1,30.0,0,0,8.05,3,0
88,1,1,0,23.0,3,2,263.0,3,5
89,0,3,1,24.0,0,0,8.05,3,0
90,0,3,1,29.0,0,0,8.05,3,0
91,0,3,1,20.0,0,0,7.8542,3,0
92,0,1,1,46.0,1,0,61.175,3,1
93,0,3,1,26.0,1,2,20.575,3,3
94,0,3,1,59.0,0,0,7.25,3,0
95,0,3,1,30.0,0,0,8.05,3,0
96,0,1,1,71.0,0,0,34.6542,2,0
97,1,1,1,23.0,0,1,63.3583,2,1
98,1,2,0,34.0,0,1,23.0,3,1
99,0,2,1,34.0,1,0,26.0,3,1
100,0,3,0,28.0,0,0,7.8958,3,0
101,0,3,1,30.0,0,0,7.8958,3,0
102,0,1,1,21.0,0,1,77.2875,3,1
103,0,3,1,33.0,0,0,8.6542,3,0
104,0,3,1,37.0,2,0,7.925,3,2
105,0,3,1,28.0,0,0,7.8958,3,0
106,1,3,0,21.0,0,0,7.65,3,0
107,1,3,1,30.0,0,0,7.775,3,0
108,0,3,1,38.0,0,0,7.8958,3,0
109,1,3,0,30.0,1,0,24.15,1,1
110,0,1,1,47.0,0,0,52.0,3,0
111,0,3,0,14.0,1,0,14.4542,2,1
112,0,3,1,22.0,0,0,8.05,3,0
113,0,3,0,20.0,1,0,9.825,3,1
114,0,3,0,17.0,0,0,14.4583,2,0
115,0,3,1,21.0,0,0,7.925,3,0
116,0,3,1,70.0,0,0,7.75,1,0
117,0,2,1,29.0,1,0,21.0,3,1
118,0,1,1,24.0,0,1,247.5208,2,1
119,0,3,0,2.0,4,2,31.275,3,6
120,0,2,1,21.0,2,0,73.5,3,2
121,0,3,1,30.0,0,0,8.05,3,0
122,0,2,1,32.0,1,0,30.0708,2,1
123,1,2,0,32.0,0,0,13.0,3,0
124,0,1,1,54.0,0,1,77.2875,3,1
125,1,3,1,12.0,1,0,11.2417,2,1
126,0,3,1,30.0,0,0,7.75,1,0
127,1,3,1,24.0,0,0,7.1417,3,0
128,1,3,0,30.0,1,1,22.3583,2,2
129,0,3,1,45.0,0,0,6.975,3,0
130,0,3,1,33.0,0,0,7.8958,2,0
131,0,3,1,20.0,0,0,7.05,3,0
132,0,3,0,47.0,1,0,14.5,3,1
133,1,2,0,29.0,1,0,26.0,3,1
134,0,2,1,25.0,0,0,13.0,3,0
135,0,2,1,23.0,0,0,15.0458,2,0
136,1,1,0,19.0,0,2,26.2833,3,2
137,0,1,1,37.0,1,0,53.1,3,1
138,0,3,1,16.0,0,0,9.2167,3,0
139,0,1,1,24.0,0,0,79.2,2,0
140,0,3,0,30.0,0,2,15.2458,2,2
141,1,3,0,22.0,0,0,7.75,3,0
142,1,3,0,24.0,1,0,15.85,3,1
143,0,3,1,19.0,0,0,6.75,1,0
144,0,2,1,18.0,0,0,11.5,3,0
145,0,2,1,19.0,1,1,36.75,3,2
146,1,3,1,27.0,0,0,7.7958,3,0
147,0,3,0,9.0,2,2,34.375,3,4
148,0,2,1,36.0,0,2,26.0,3,2
149,0,2,1,42.0,0,0,13.0,3,0
150,0,2,1,51.0,0,0,12.525,3,0
151,1,1,0,22.0,1,0,66.6,3,1
152,0,3,1,56.0,0,0,8.05,3,0
153,0,3,1,40.0,0,2,14.5,3,2
154,0,3,1,30.0,0,0,7.3125,3,0
155,0,1,1,51.0,0,1,61.3792,2,1
156,1,3,0,16.0,0,0,7.7333,1,0
157,0,3,1,30.0,0,0,8.05,3,0
158,0,3,1,30.0,0,0,8.6625,3,0
159,0,3,1,30.0,8,2,69.55,3,10
160,0,3,1,44.0,0,1,16.1,3,1
161,1,2,0,40.0,0,0,15.75,3,0
162,0,3,1,26.0,0,0,7.775,3,0
163,0,3,1,17.0,0,0,8.6625,3,0
164,0,3,1,1.0,4,1,39.6875,3,5
165,1,3,1,9.0,0,2,20.525,3,2
166,1,1,0,30.0,0,1,55.0,3,1
167,0,3,0,45.0,1,4,27.9,3,5
168,0,1,1,30.0,0,0,25.925,3,0
169,0,3,1,28.0,0,0,56.4958,3,0
170,0,1,1,61.0,0,0,33.5,3,0
171,0,3,1,4.0,4,1,29.125,1,5
172,1,3,0,1.0,1,1,11.1333,3,2
173,0,3,1,21.0,0,0,7.925,3,0
174,0,1,1,56.0,0,0,30.6958,2,0
175,0,3,1,18.0,1,1,7.8542,3,2
176,0,3,1,30.0,3,1,25.4667,3,4
177,0,1,0,50.0,0,0,28.7125,2,0
178,0,2,1,30.0,0,0,13.0,3,0
179,0,3,1,36.0,0,0,0.0,3,0
180,0,3,0,30.0,8,2,69.55,3,10
181,0,2,1,30.0,0,0,15.05,2,0
182,0,3,1,9.0,4,2,31.3875,3,6
183,1,2,1,1.0,2,1,39.0,3,3
184,1,3,0,4.0,0,2,22.025,3,2
185,0,1,1,30.0,0,0,50.0,3,0
186,1,3,0,30.0,1,0,15.5,1,1
187,1,1,1,45.0,0,0,26.55,3,0
188,0,3,1,40.0,1,1,15.5,1,2
189,0,3,1,36.0,0,0,7.8958,3,0
190,1,2,0,32.0,0,0,13.0,3,0
191,0,2,1,19.0,0,0,13.0,3,0
192,1,3,0,19.0,1,0,7.8542,3,1
193,1,2,1,3.0,1,1,26.0,3,2
194,1,1,0,44.0,0,0,27.7208,2,0
195,1,1,0,58.0,0,0,146.5208,2,0
196,0,3,1,30.0,0,0,7.75,1,0
197,0,3,1,42.0,0,1,8.4042,3,1
198,1,3,0,30.0,0,0,7.75,1,0
199,0,2,0,24.0,0,0,13.0,3,0
200,0,3,1,28.0,0,0,9.5,3,0
201,0,3,1,30.0,8,2,69.55,3,10
202,0,3,1,34.0,0,0,6.4958,3,0
203,0,3,1,46.0,0,0,7.225,2,0
204,1,3,1,18.0,0,0,8.05,3,0
205,0,3,0,2.0,0,1,10.4625,3,1
206,0,3,1,32.0,1,0,15.85,3,1
207,1,3,1,26.0,0,0,18.7875,2,0
208,1,3,0,16.0,0,0,7.75,1,0
209,1,1,1,40.0,0,0,31.0,2,0
210,0,3,1,24.0,0,0,7.05,3,0
211,1,2,0,35.0,0,0,21.0,3,0
212,0,3,1,22.0,0,0,7.25,3,0
213,0,2,1,30.0,0,0,13.0,3,0
214,0,3,1,30.0,1,0,7.75,1,1
215,1,1,0,31.0,1,0,113.275,2,1
216,1,3,0,27.0,0,0,7.925,3,0
217,0,2,1,42.0,1,0,27.0,3,1
218,1,1,0,32.0,0,0,76.2917,2,0
219,0,2,1,30.0,0,0,10.5,3,0
220,1,3,1,16.0,0,0,8.05,3,0
221,0,2,1,27.0,0,0,13.0,3,0
222,0,3,1,51.0,0,0,8.05,3,0
223,0,3,1,30.0,0,0,7.8958,3,0
224,1,1,1,38.0,1,0,90.0,3,1
225,0,3,1,22.0,0,0,9.35,3,0
226,1,2,1,19.0,0,0,10.5,3,0
227,0,3,1,20.0,0,0,7.25,3,0
228,0,2,1,18.0,0,0,13.0,3,0
229,0,3,0,30.0,3,1,25.4667,3,4
230,1,1,0,35.0,1,0,83.475,3,1
231,0,3,1,29.0,0,0,7.775,3,0
232,0,2,1,59.0,0,0,13.5,3,0
233,1,3,0,5.0,4,2,31.3875,3,6
234,0,2,1,24.0,0,0,10.5,3,0
235,0,3,0,30.0,0,0,7.55,3,0
236,0,2,1,44.0,1,0,26.0,3,1
237,1,2,0,8.0,0,2,26.25,3,2
238,0,2,1,19.0,0,0,10.5,3,0
239,0,2,1,33.0,0,0,12.275,3,0
240,0,3,0,30.0,1,0,14.4542,2,1
241,1,3,0,30.0,1,0,15.5,1,1
242,0,2,1,29.0,0,0,10.5,3,0
243,0,3,1,22.0,0,0,7.125,3,0
244,0,3,1,30.0,0,0,7.225,2,0
245,0,1,1,44.0,2,0,90.0,1,2
246,0,3,0,25.0,0,0,7.775,3,0
247,1,2,0,24.0,0,2,14.5,3,2
248,1,1,1,37.0,1,1,52.5542,3,2
249,0,2,1,54.0,1,0,26.0,3,1
250,0,3,1,30.0,0,0,7.25,3,0
251,0,3,0,29.0,1,1,10.4625,3,2
252,0,1,1,62.0,0,0,26.55,3,0
253,0,3,1,30.0,1,0,16.1,3,1
254,0,3,0,41.0,0,2,20.2125,3,2
255,1,3,0,29.0,0,2,15.2458,2,2
256,1,1,0,30.0,0,0,79.2,2,0
257,1,1,0,30.0,0,0,86.5,3,0
258,1,1,0,35.0,0,0,512.3292,2,0
259,1,2,0,50.0,0,1,26.0,3,1
260,0,3,1,30.0,0,0,7.75,1,0
261,1,3,1,3.0,4,2,31.3875,3,6
262,0,1,1,52.0,1,1,79.65,3,2
263,0,1,1,40.0,0,0,0.0,3,0
264,0,3,0,30.0,0,0,7.75,1,0
265,0,2,1,36.0,0,0,10.5,3,0
266,0,3,1,16.0,4,1,39.6875,3,5
267,1,3,1,25.0,1,0,7.775,3,1
268,1,1,0,58.0,0,1,153.4625,3,1
269,1,1,0,35.0,0,0,135.6333,3,0
270,0,1,1,30.0,0,0,31.0,3,0
271,1,3,1,25.0,0,0,0.0,3,0
272,1,2,0,41.0,0,1,19.5,3,1
273,0,1,1,37.0,0,1,29.7,2,1
274,1,3,0,30.0,0,0,7.75,1,0
275,1,1,0,63.0,1,0,77.9583,3,1
276,0,3,0,45.0,0,0,7.75,3,0
277,0,2,1,30.0,0,0,0.0,3,0
278,0,3,1,7.0,4,1,29.125,1,5
279,1,3,0,35.0,1,1,20.25,3,2
280,0,3,1,65.0,0,0,7.75,1,0
281,0,3,1,28.0,0,0,7.8542,3,0
282,0,3,1,16.0,0,0,9.5,3,0
283,1,3,1,19.0,0,0,8.05,3,0
284,0,1,1,30.0,0,0,26.0,3,0
285,0,3,1,33.0,0,0,8.6625,2,0
286,1,3,1,30.0,0,0,9.5,3,0
287,0,3,1,22.0,0,0,7.8958,3,0
288,1,2,1,42.0,0,0,13.0,3,0
289,1,3,0,22.0,0,0,7.75,1,0
290,1,1,0,26.0,0,0,78.85,3,0
291,1,1,0,19.0,1,0,91.0792,2,1
292,0,2,1,36.0,0,0,12.875,2,0
293,0,3,0,24.0,0,0,8.85,3,0
294,0,3,1,24.0,0,0,7.8958,3,0
295,0,1,1,30.0,0,0,27.7208,2,0
296,0,3,1,24.0,0,0,7.2292,2,0
297,0,1,0,2.0,1,2,151.55,3,3
298,1,1,1,30.0,0,0,30.5,3,0
299,1,1,0,50.0,0,1,247.5208,2,1
300,1,3,0,30.0,0,0,7.75,1,0
301,1,3,1,30.0,2,0,23.25,1,2
302,0,3,1,19.0,0,0,0.0,3,0
303,1,2,0,30.0,0,0,12.35,1,0
304,0,3,1,30.0,0,0,8.05,3,0
305,1,1,1,1.0,1,2,151.55,3,3
306,1,1,0,30.0,0,0,110.8833,2,0
307,1,1,0,17.0,1,0,108.9,2,1
308,0,2,1,30.0,1,0,24.0,2,1
309,1,1,0,30.0,0,0,56.9292,2,0
310,1,1,0,24.0,0,0,83.1583,2,0
311,1,1,0,18.0,2,2,262.375,2,4
312,0,2,0,26.0,1,1,26.0,3,2
313,0,3,1,28.0,0,0,7.8958,3,0
314,0,2,1,43.0,1,1,26.25,3,2
315,1,3,0,26.0,0,0,7.8542,3,0
316,1,2,0,24.0,1,0,26.0,3,1
317,0,2,1,54.0,0,0,14.0,3,0
318,1,1,0,31.0,0,2,164.8667,3,2
319,1,1,0,40.0,1,1,134.5,2,2
320,0,3,1,22.0,0,0,7.25,3,0
321,0,3,1,27.0,0,0,7.8958,3,0
322,1,2,0,30.0,0,0,12.35,1,0
323,1,2,0,22.0,1,1,29.0,3,2
324,0,3,1,30.0,8,2,69.55,3,10
325,1,1,0,36.0,0,0,135.6333,2,0
326,0,3,1,61.0,0,0,6.2375,3,0
327,1,2,0,36.0,0,0,13.0,3,0
328,1,3,0,31.0,1,1,20.525,3,2
329,1,1,0,16.0,0,1,57.9792,2,1
330,1,3,0,30.0,2,0,23.25,1,2
331,0,1,1,46.0,0,0,28.5,3,0
332,0,1,1,38.0,0,1,153.4625,3,1
333,0,3,1,16.0,2,0,18.0,3,2
334,1,1,0,30.0,1,0,133.65,3,1
335,0,3,1,30.0,0,0,7.8958,3,0
336,0,1,1,29.0,1,0,66.6,3,1
337,1,1,0,41.0,0,0,134.5,2,0
338,1,3,1,45.0,0,0,8.05,3,0
339,0,1,1,45.0,0,0,35.5,3,0
340,1,2,1,2.0,1,1,26.0,3,2
341,1,1,0,24.0,3,2,263.0,3,5
342,0,2,1,28.0,0,0,13.0,3,0
343,0,2,1,25.0,0,0,13.0,3,0
344,0,2,1,36.0,0,0,13.0,3,0
345,1,2,0,24.0,0,0,13.0,3,0
346,1,2,0,40.0,0,0,13.0,3,0
347,1,3,0,30.0,1,0,16.1,3,1
348,1,3,1,3.0,1,1,15.9,3,2
349,0,3,1,42.0,0,0,8.6625,3,0
350,0,3,1,23.0,0,0,9.225,3,0
351,0,1,1,30.0,0,0,35.0,3,0
352,0,3,1,15.0,1,1,7.2292,2,2
353,0,3,1,25.0,1,0,17.8,3,1
354,0,3,1,30.0,0,0,7.225,2,0
355,0,3,1,28.0,0,0,9.5,3,0
356,1,1,0,22.0,0,1,55.0,3,1
357,0,2,0,38.0,0,0,13.0,3,0
358,1,3,0,30.0,0,0,7.8792,1,0
359,1,3,0,30.0,0,0,7.8792,1,0
360,0,3,1,40.0,1,4,27.9,3,5
361,0,2,1,29.0,1,0,27.7208,2,1
362,0,3,0,45.0,0,1,14.4542,2,1
363,0,3,1,35.0,0,0,7.05,3,0
364,0,3,1,30.0,1,0,15.5,1,1
365,0,3,1,30.0,0,0,7.25,3,0
366,1,1,0,60.0,1,0,75.25,2,1
367,1,3,0,30.0,0,0,7.2292,2,0
368,1,3,0,30.0,0,0,7.75,1,0
369,1,1,0,24.0,0,0,69.3,2,0
370,1,1,1,25.0,1,0,55.4417,2,1
371,0,3,1,18.0,1,0,6.4958,3,1
372,0,3,1,19.0,0,0,8.05,3,0
373,0,1,1,22.0,0,0,135.6333,2,0
374,0,3,0,3.0,3,1,21.075,3,4
375,1,1,0,30.0,1,0,82.1708,2,1
376,1,3,0,22.0,0,0,7.25,3,0
377,0,1,1,27.0,0,2,211.5,2,2
378,0,3,1,20.0,0,0,4.0125,2,0
379,0,3,1,19.0,0,0,7.775,3,0
380,1,1,0,42.0,0,0,227.525,2,0
381,1,3,0,1.0,0,2,15.7417,2,2
382,0,3,1,32.0,0,0,7.925,3,0
383,1,1,0,35.0,1,0,52.0,3,1
384,0,3,1,30.0,0,0,7.8958,3,0
385,0,2,1,18.0,0,0,73.5,3,0
386,0,3,1,1.0,5,2,46.9,3,7
387,1,2,0,36.0,0,0,13.0,3,0
388,0,3,1,30.0,0,0,7.7292,1,0
389,1,2,0,17.0,0,0,12.0,2,0
390,1,1,1,36.0,1,2,120.0,3,3
391,1,3,1,21.0,0,0,7.7958,3,0
392,0,3,1,28.0,2,0,7.925,3,2
393,1,1,0,23.0,1,0,113.275,2,1
394,1,3,0,24.0,0,2,16.7,3,2
395,0,3,1,22.0,0,0,7.7958,3,0
396,0,3,0,31.0,0,0,7.8542,3,0
397,0,2,1,46.0,0,0,26.0,3,0
398,0,2,1,23.0,0,0,10.5,3,0
399,1,2,0,28.0,0,0,12.65,3,0
400,1,3,1,39.0,0,0,7.925,3,0
401,0,3,1,26.0,0,0,8.05,3,0
402,0,3,0,21.0,1,0,9.825,3,1
403,0,3,1,28.0,1,0,15.85,3,1
404,0,3,0,20.0,0,0,8.6625,3,0
405,0,2,1,34.0,1,0,21.0,3,1
406,0,3,1,51.0,0,0,7.75,3,0
407,1,2,1,3.0,1,1,18.75,3,2
408,0,3,1,21.0,0,0,7.775,3,0
409,0,3,0,30.0,3,1,25.4667,3,4
410,0,3,1,30.0,0,0,7.8958,3,0
411,0,3,1,30.0,0,0,6.8583,1,0
412,1,1,0,33.0,1,0,90.0,1,1
413,0,2,1,30.0,0,0,0.0,3,0
414,1,3,1,44.0,0,0,7.925,3,0
415,0,3,0,30.0,0,0,8.05,3,0
416,1,2,0,34.0,1,1,32.5,3,2
417,1,2,0,18.0,0,2,13.0,3,2
418,0,2,1,30.0,0,0,13.0,3,0
419,0,3,0,10.0,0,2,24.15,3,2
420,0,3,1,30.0,0,0,7.8958,2,0
421,0,3,1,21.0,0,0,7.7333,1,0
422,0,3,1,29.0,0,0,7.875,3,0
423,0,3,0,28.0,1,1,14.4,3,2
424,0,3,1,18.0,1,1,20.2125,3,2
425,0,3,1,30.0,0,0,7.25,3,0
426,1,2,0,28.0,1,0,26.0,3,1
427,1,2,0,19.0,0,0,26.0,3,0
428,0,3,1,30.0,0,0,7.75,1,0
429,1,3,1,32.0,0,0,8.05,3,0
430,1,1,1,28.0,0,0,26.55,3,0
431,1,3,0,30.0,1,0,16.1,3,1
432,1,2,0,42.0,1,0,26.0,3,1
433,0,3,1,17.0,0,0,7.125,3,0
434,0,1,1,50.0,1,0,55.9,3,1
435,1,1,0,14.0,1,2,120.0,3,3
436,0,3,0,21.0,2,2,34.375,3,4
437,1,2,0,24.0,2,3,18.75,3,5
438,0,1,1,64.0,1,4,263.0,3,5
439,0,2,1,31.0,0,0,10.5,3,0
440,1,2,0,45.0,1,1,26.25,3,2
441,0,3,1,20.0,0,0,9.5,3,0
442,0,3,1,25.0,1,0,7.775,3,1
443,1,2,0,28.0,0,0,13.0,3,0
444,1,3,1,30.0,0,0,8.1125,3,0
445,1,1,1,4.0,0,2,81.8583,3,2
